[*] Config Loaded: Name='flight-hawaii-van-Teams', Duration=600s
[*] Launching Chrome for Teams...
[*] Joining URL: [REDACTED_TEAMS_MEETING_URL]
[*] Navigating Join Flow...
[*] Looking for Join button...
    [+] JOIN CLICKED!
[*] Waiting for connection (20s)...
[*] Starting continuous monitoring for 600 seconds...
[LOG] Time: 177s | RTT: 243.00 ms | State: connected
[LOG] Time: 178s | RTT: 243.00 ms | State: connected
[LOG] Time: 180s | RTT: 205.00 ms | State: connected
[LOG] Time: 181s | RTT: 205.00 ms | State: connected
[LOG] Time: 182s | RTT: 159.00 ms | State: connected
[LOG] Time: 183s | RTT: 159.00 ms | State: connected
[LOG] Time: 184s | RTT: 171.00 ms | State: connected
[LOG] Time: 185s | RTT: 171.00 ms | State: connected
[LOG] Time: 186s | RTT: 171.00 ms | State: connected
[LOG] Time: 187s | RTT: 262.00 ms | State: connected
[LOG] Time: 189s | RTT: 262.00 ms | State: connected
[LOG] Time: 190s | RTT: 261.00 ms | State: connected
[LOG] Time: 191s | RTT: 261.00 ms | State: connected
[LOG] Time: 192s | RTT: 175.00 ms | State: connected
[LOG] Time: 193s | RTT: 175.00 ms | State: connected
[LOG] Time: 195s | RTT: 183.00 ms | State: connected
[LOG] Time: 196s | RTT: 183.00 ms | State: connected
[LOG] Time: 197s | RTT: 183.00 ms | State: connected
[LOG] Time: 198s | RTT: 153.00 ms | State: connected
[LOG] Time: 199s | RTT: 153.00 ms | State: connected
[LOG] Time: 200s | RTT: 244.00 ms | State: connected
[LOG] Time: 201s | RTT: 244.00 ms | State: connected
[LOG] Time: 202s | RTT: 161.00 ms | State: connected
[LOG] Time: 203s | RTT: 161.00 ms | State: connected
[LOG] Time: 205s | RTT: 161.00 ms | State: connected
[LOG] Time: 206s | RTT: 189.00 ms | State: connected
[LOG] Time: 207s | RTT: 189.00 ms | State: connected
[LOG] Time: 208s | RTT: 168.00 ms | State: connected
[LOG] Time: 209s | RTT: 168.00 ms | State: connected
[LOG] Time: 210s | RTT: 168.00 ms | State: connected
[LOG] Time: 211s | RTT: 150.00 ms | State: connected
[LOG] Time: 212s | RTT: 150.00 ms | State: connected
[LOG] Time: 213s | RTT: 131.00 ms | State: connected
[LOG] Time: 215s | RTT: 131.00 ms | State: connected
[LOG] Time: 216s | RTT: 166.00 ms | State: connected
[LOG] Time: 217s | RTT: 166.00 ms | State: connected
[LOG] Time: 218s | RTT: 166.00 ms | State: connected
[LOG] Time: 219s | RTT: 175.00 ms | State: connected
[LOG] Time: 220s | RTT: 175.00 ms | State: connected
