[*] Config Loaded: Name='flight-van-hawaii-Teams', Duration=300s
[*] Launching Chrome for Teams...
[*] Joining URL: [MEETING_LINK_REMOVED]
[*] Navigating Join Flow...
[*] Looking for Join button...
    [+] JOIN CLICKED!
[*] Waiting for connection (20s)...
[*] Starting continuous monitoring for 300 seconds...
[LOG] Time: 192s | RTT: 253.00 ms | State: connected
[LOG] Time: 194s | RTT: 408.00 ms | State: connected
[LOG] Time: 195s | RTT: 408.00 ms | State: connected
[LOG] Time: 196s | RTT: 408.00 ms | State: connected
[LOG] Time: 197s | RTT: 301.00 ms | State: connected
[LOG] Time: 198s | RTT: 301.00 ms | State: connected
[LOG] Time: 200s | RTT: 180.00 ms | State: connected
[LOG] Time: 201s | RTT: 180.00 ms | State: connected
[LOG] Time: 202s | RTT: 390.00 ms | State: connected
[LOG] Time: 203s | RTT: 390.00 ms | State: connected
[LOG] Time: 204s | RTT: 208.00 ms | State: connected
[LOG] Time: 205s | RTT: 208.00 ms | State: connected
[LOG] Time: 206s | RTT: 208.00 ms | State: connected
[LOG] Time: 208s | RTT: 209.00 ms | State: connected
[LOG] Time: 209s | RTT: 209.00 ms | State: connected
[LOG] Time: 210s | RTT: 202.00 ms | State: connected
[LOG] Time: 211s | RTT: 202.00 ms | State: connected
[LOG] Time: 212s | RTT: 191.00 ms | State: connected
[LOG] Time: 213s | RTT: 191.00 ms | State: connected
[LOG] Time: 214s | RTT: 191.00 ms | State: connected
[LOG] Time: 215s | RTT: 221.00 ms | State: connected
[LOG] Time: 216s | RTT: 221.00 ms | State: connected
[LOG] Time: 218s | RTT: 209.00 ms | State: connected
[LOG] Time: 219s | RTT: 209.00 ms | State: connected
[LOG] Time: 220s | RTT: 209.00 ms | State: connected
[LOG] Time: 221s | RTT: 205.00 ms | State: connected
[LOG] Time: 222s | RTT: 205.00 ms | State: connected
[LOG] Time: 223s | RTT: 224.00 ms | State: connected
[LOG] Time: 224s | RTT: 224.00 ms | State: connected
[LOG] Time: 225s | RTT: 224.00 ms | State: connected
[LOG] Time: 226s | RTT: 231.00 ms | State: connected
[LOG] Time: 227s | RTT: 231.00 ms | State: connected
[LOG] Time: 228s | RTT: 204.00 ms | State: connected
[LOG] Time: 229s | RTT: 204.00 ms | State: connected
[LOG] Time: 231s | RTT: 208.00 ms | State: connected
[LOG] Time: 232s | RTT: 208.00 ms | State: connected
[LOG] Time: 233s | RTT: 208.00 ms | State: connected
[LOG] Time: 234s | RTT: 241.00 ms | State: connected
[LOG] Time: 235s | RTT: 241.00 ms | State: connected
[LOG] Time: 236s | RTT: 195.00 ms | State: connected
[LOG] Time: 237s | RTT: 195.00 ms | State: connected
[LOG] Time: 238s | RTT: 195.00 ms | State: connected
[LOG] Time: 239s | RTT: 309.00 ms | State: connected
[LOG] Time: 240s | RTT: 309.00 ms | State: connected
[LOG] Time: 241s | RTT: 202.00 ms | State: connected
[LOG] Time: 243s | RTT: 202.00 ms | State: connected
[LOG] Time: 244s | RTT: 202.00 ms | State: connected
[LOG] Time: 245s | RTT: 191.00 ms | State: connected
[LOG] Time: 246s | RTT: 191.00 ms | State: connected
[LOG] Time: 247s | RTT: 180.00 ms | State: connected
[LOG] Time: 248s | RTT: 180.00 ms | State: connected
[LOG] Time: 249s | RTT: 220.00 ms | State: connected
[LOG] Time: 250s | RTT: 220.00 ms | State: connected
[LOG] Time: 251s | RTT: 220.00 ms | State: connected
[LOG] Time: 252s | RTT: 193.00 ms | State: connected
[LOG] Time: 253s | RTT: 193.00 ms | State: connected
[LOG] Time: 255s | RTT: 180.00 ms | State: connected
[LOG] Time: 256s | RTT: 180.00 ms | State: connected
[LOG] Time: 257s | RTT: 180.00 ms | State: connected
[LOG] Time: 258s | RTT: 177.00 ms | State: connected
[LOG] Time: 259s | RTT: 177.00 ms | State: connected
[LOG] Time: 260s | RTT: 228.00 ms | State: connected
[LOG] Time: 261s | RTT: 228.00 ms | State: connected
[LOG] Time: 262s | RTT: 228.00 ms | State: connected
[LOG] Time: 263s | RTT: 178.00 ms | State: connected
[LOG] Time: 264s | RTT: 178.00 ms | State: connected
[LOG] Time: 266s | RTT: 220.00 ms | State: connected
[LOG] Time: 267s | RTT: 220.00 ms | State: connected
[LOG] Time: 268s | RTT: 212.00 ms | State: connected
[LOG] Time: 269s | RTT: 212.00 ms | State: connected
[LOG] Time: 270s | RTT: 212.00 ms | State: connected
[LOG] Time: 271s | RTT: 202.00 ms | State: connected
[LOG] Time: 272s | RTT: 202.00 ms | State: connected
[LOG] Time: 273s | RTT: 225.00 ms | State: connected
[LOG] Time: 274s | RTT: 225.00 ms | State: connected
[LOG] Time: 275s | RTT: 225.00 ms | State: connected
[LOG] Time: 276s | RTT: 199.00 ms | State: connected
[LOG] Time: 278s | RTT: 199.00 ms | State: connected
[LOG] Time: 279s | RTT: 197.00 ms | State: connected
[LOG] Time: 280s | RTT: 197.00 ms | State: connected
[LOG] Time: 281s | RTT: 197.00 ms | State: connected
[LOG] Time: 282s | RTT: 210.00 ms | State: connected
